rho_penalty_weight,train_MSE,train_MAE,train_RE,test_MSE,test_MAE,test_RE
1,0.0001,0.0055,4.21,0.0022,0.0269,13.82
2,0.0002,0.0057,4.29,0.0021,0.0253,12.27
3,0.0002,0.0058,4.32,0.0018,0.0219,9.84
4,0.0002,0.0058,4.33,0.0018,0.0219,9.84
5,0.0002,0.0059,4.39,0.0017,0.0215,9.54
6,0.0002,0.0059,4.39,0.0017,0.0215,9.54
7,0.0002,0.0059,4.39,0.0017,0.0215,9.54
8,0.0002,0.0059,4.39,0.0017,0.0215,9.54
9,0.0002,0.0059,4.39,0.0017,0.0212,9.49
10,0.0002,0.0059,4.39,0.0017,0.0213,9.51
11,0.0002,0.0059,4.39,0.0017,0.0213,9.51
12,0.0002,0.0059,4.39,0.0017,0.0213,9.51
13,0.0002,0.0059,4.39,0.0017,0.0213,9.51
14,0.0002,0.0059,4.39,0.0017,0.0213,9.51
15,0.0002,0.0059,4.39,0.0017,0.0213,9.51
16,0.0002,0.0059,4.4,0.0017,0.0213,9.51
17,0.0002,0.0059,4.4,0.0017,0.0213,9.51
18,0.0002,0.0059,4.4,0.0017,0.0213,9.51
19,0.0002,0.0059,4.4,0.0017,0.0213,9.51
20,0.0002,0.0059,4.4,0.0017,0.0213,9.51
